2026-07-05_18-36-56,0,main.go:2026-07-05_18-36-56
2026-07-05_19-15-54,0,main.go:2026-07-05_19-15-54
2026-07-05_19-20-21,0,main.go:2026-07-05_19-20-21
2026-07-05_19-22-38,0,main.go:2026-07-05_19-22-38
2026-07-05_19-33-06,0,main.go:2026-07-05_19-33-06
2026-07-05_19-35-16,0,main.go:2026-07-05_19-35-16
2026-07-05_19-38-20,20,main.go:2026-07-05_19-38-20
2026-07-05_19-48-42,20,main.go:2026-07-05_19-48-42
2026-07-05_19-51-12,20,main.go:2026-07-05_19-51-12
2026-07-05_19-54-21,20,main.go:2026-07-05_19-54-21
2026-07-05_20-05-02,0,main.go:2026-07-05_20-05-02
2026-07-05_20-07-44,40,main.go:2026-07-05_20-07-44
2026-07-05_20-20-27,60,main.go:2026-07-05_20-20-27
2026-07-05_20-25-22,80,main.go:2026-07-05_20-25-22
2026-07-05_20-30-34,100,main.go:2026-07-05_20-30-34
